,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
62,2.4273659706115724,0.1163239585964662,0.0029921531677246094,4.523674478771752e-07,"(14, 14, 14)","{'hidden_layer_sizes': (14, 14, 14)}",0.9811452513966481,0.977304469273743,0.9811386657352428,0.9828850855745721,0.9790429619280475,0.9803032867816507,0.0019315161194505283,1
42,1.573792314529419,0.18529017105254716,0.003300333023071289,0.00042034637342055976,"(10, 10, 10)","{'hidden_layer_sizes': (10, 10, 10)}",0.9811452513966481,0.9769553072625698,0.9814879497031086,0.9818372336709745,0.9790429619280475,0.9800937407922697,0.0018462481793148824,2
72,19.287617778778078,1.0500751338963599,0.008975744247436523,0.0006307512458025988,"(100, 100, 100)","{'hidden_layer_sizes': (100, 100, 100)}",0.9818435754189944,0.9776536312849162,0.9811386657352428,0.9818372336709745,0.9779951100244498,0.9800936432269156,0.0018736030655049868,3
50,0.9751824855804443,0.05593950525278375,0.0027937889099121094,0.00041561535377646546,12,{'hidden_layer_sizes': 12},0.9818435754189944,0.9762569832402235,0.9811386657352428,0.9818372336709745,0.9790429619280475,0.9800238839986966,0.0021444813663011653,4
40,0.7180441379547119,0.07040619381921558,0.002332115173339844,0.0004227207154544431,10,{'hidden_layer_sizes': 10},0.9811452513966481,0.977304469273743,0.9811386657352428,0.9818372336709745,0.9786936779601816,0.980023859607358,0.001729341189210347,5
45,0.7437518119812012,0.039657567587485704,0.002852916717529297,0.0002853134724918627,11,{'hidden_layer_sizes': 11},0.9818435754189944,0.9766061452513967,0.9811386657352428,0.9818372336709745,0.9786936779601816,0.980023859607358,0.002063620045740744,5
55,0.9280430316925049,0.08357773866982733,0.0028510093688964844,7.829064986165926e-05,13,{'hidden_layer_sizes': 13},0.9818435754189944,0.977304469273743,0.9811386657352428,0.9814879497031086,0.9783443939923158,0.9800238108246809,0.0018392067134029703,7
73,26.83227458000183,2.037754356992538,0.012168407440185547,0.0007469265891494987,"(100, 100, 100, 100)","{'hidden_layer_sizes': (100, 100, 100, 100)}",0.9818435754189944,0.977304469273743,0.9811386657352428,0.9818372336709745,0.9779951100244498,0.9800238108246809,0.001967403999045228,7
57,2.3876158237457275,0.09671189816044168,0.0031906604766845704,0.0003992804877604386,"(13, 13, 13)","{'hidden_layer_sizes': (13, 13, 13)}",0.9804469273743017,0.9762569832402235,0.9825358016067063,0.9818372336709745,0.9786936779601816,0.9799541247704775,0.002267667986302296,9
60,0.9194638729095459,0.03792586238502445,0.003013801574707031,0.0005978822551256787,14,{'hidden_layer_sizes': 14},0.9818435754189944,0.9766061452513967,0.9814879497031086,0.9818372336709745,0.9779951100244498,0.9799540028137848,0.00221429209316405,10
71,11.726344680786132,0.9386512147452226,0.006780433654785156,0.0003984340528771907,"(100, 100)","{'hidden_layer_sizes': (100, 100)}",0.9818435754189944,0.9766061452513967,0.9811386657352428,0.9818372336709745,0.9779951100244498,0.9798841460202116,0.0021698608568022845,11
52,2.176778554916382,0.14520354962676735,0.003191375732421875,0.00039856597525019926,"(12, 12, 12)","{'hidden_layer_sizes': (12, 12, 12)}",0.9818435754189944,0.9769553072625698,0.9807893817673768,0.9818372336709745,0.9779951100244498,0.9798841216288731,0.002030759471571958,12
36,1.212196445465088,0.02465178449161241,0.0030356407165527343,0.0005182255310381233,"(9, 9)","{'hidden_layer_sizes': (9, 9)}",0.9814944134078212,0.9755586592178771,0.9811386657352428,0.9828850855745721,0.9779951100244498,0.9798143867919926,0.002661818187058287,13
56,1.7636531352996827,0.073214833910047,0.00307316780090332,0.00012883998833369164,"(13, 13)","{'hidden_layer_sizes': (13, 13)}",0.9807960893854749,0.9769553072625698,0.9811386657352428,0.9818372336709745,0.9783443939923158,0.9798143380093156,0.0018517331758198773,14
66,1.8166669368743897,0.1250783230169561,0.003191375732421875,0.00039832601643138344,"(15, 15)","{'hidden_layer_sizes': (15, 15)}",0.9811452513966481,0.9766061452513967,0.9814879497031086,0.9818372336709745,0.9779951100244498,0.9798143380093155,0.002110284560765317,15
70,4.206153011322021,0.29219268816948035,0.004386758804321289,0.0007981824122693776,100,{'hidden_layer_sizes': 100},0.9811452513966481,0.9769553072625698,0.9811386657352428,0.9818372336709745,0.9779951100244498,0.9798143136179771,0.0019545295340301447,16
67,2.5046506404876707,0.09048194592571884,0.0037896156311035155,0.00039873183044410534,"(15, 15, 15)","{'hidden_layer_sizes': (15, 15, 15)}",0.9811452513966481,0.9766061452513967,0.9811386657352428,0.9818372336709745,0.9779951100244498,0.9797444812157424,0.0020588818617414384,17
46,1.290179681777954,0.06546978656294253,0.0035950660705566405,0.00045383384290426023,"(11, 11)","{'hidden_layer_sizes': (11, 11)}",0.9811452513966481,0.9769553072625698,0.9811386657352428,0.9814879497031086,0.9779951100244498,0.9797444568244039,0.001886021253516192,18
61,1.6792096138000487,0.1778386192451246,0.002984905242919922,2.6480395014423593e-05,"(14, 14)","{'hidden_layer_sizes': (14, 14)}",0.9814944134078212,0.9762569832402235,0.9811386657352428,0.9814879497031086,0.9779951100244498,0.9796746244221692,0.0021561186124078808,19
25,0.6356148242950439,0.019430229052410337,0.0023111820220947264,0.00042137253851979597,7,{'hidden_layer_sizes': 7},0.9814944134078212,0.9762569832402235,0.9811386657352428,0.9814879497031086,0.9779951100244498,0.9796746244221692,0.0021561186124078808,19
69,4.252228021621704,0.1020163160386466,0.003989219665527344,5.43678009557313e-07,"(15, 15, 15, 15, 15)","{'hidden_layer_sizes': (15, 15, 15, 15, 15)}",0.9797486033519553,0.9766061452513967,0.9814879497031086,0.9807893817673768,0.9790429619280475,0.979535008400377,0.0016883959343400575,21
15,0.5781928539276123,0.050108369434498354,0.002663421630859375,0.00045076250126898623,5,{'hidden_layer_sizes': 5},0.9811452513966481,0.9766061452513967,0.9818372336709745,0.9800908138316451,0.9779951100244498,0.9795349108350229,0.0019571187846979684,22
26,1.0822182655334474,0.16082644006004967,0.0030005455017089845,0.000633940330714354,"(7, 7)","{'hidden_layer_sizes': (7, 7)}",0.979050279329609,0.9769553072625698,0.9814879497031086,0.9818372336709745,0.9779951100244498,0.9794651759981423,0.0019157737521491322,23
41,1.283472967147827,0.07080035600962936,0.0029912471771240236,0.00012422366677395259,"(10, 10)","{'hidden_layer_sizes': (10, 10)}",0.9800977653631285,0.9766061452513967,0.980440097799511,0.9818372336709745,0.9779951100244498,0.979395270421892,0.0018594631621309916,24
21,0.9260386466979981,0.030198793796481934,0.002773571014404297,0.0003919086979426563,"(6, 6)","{'hidden_layer_sizes': (6, 6)}",0.9807960893854749,0.9762569832402235,0.9807893817673768,0.9821865176388404,0.9769472581208523,0.9793952460305537,0.0023468494581526593,25
35,0.7614019870758056,0.07885878386722964,0.0026572704315185546,0.0004289126409365848,9,{'hidden_layer_sizes': 9},0.9804469273743017,0.9769553072625698,0.9807893817673768,0.9807893817673768,0.9779951100244498,0.979395221639215,0.0016066701328080275,26
38,2.05930380821228,0.07437483721429877,0.003383493423461914,0.0008021210987907171,"(9, 9, 9, 9)","{'hidden_layer_sizes': (9, 9, 9, 9)}",0.9807960893854749,0.9741620111731844,0.9814879497031086,0.9818372336709745,0.9783443939923158,0.9793255355850116,0.0028555844848186795,27
65,1.0042876720428466,0.026715580988631246,0.0030326366424560545,6.29030089294438e-05,15,{'hidden_layer_sizes': 15},0.9804469273743017,0.9766061452513967,0.9811386657352428,0.9807893817673768,0.977645826056584,0.9793253892369804,0.0018387122619784749,28
37,1.7004573822021485,0.11631459501145365,0.0032898426055908204,0.0007615349866059443,"(9, 9, 9)","{'hidden_layer_sizes': (9, 9, 9)}",0.9811452513966481,0.9766061452513967,0.9818372336709745,0.980440097799511,0.9765979741529863,0.9793253404543034,0.0022670208116287657,29
59,4.1165906429290775,0.3234696277094013,0.0037899017333984375,0.00039923246243525026,"(13, 13, 13, 13, 13)","{'hidden_layer_sizes': (13, 13, 13, 13, 13)}",0.9804469273743017,0.9766061452513967,0.9814879497031086,0.9800908138316451,0.977645826056584,0.9792555324434072,0.0018281800154951555,30
51,1.62210955619812,0.0560953405185373,0.0029788494110107424,1.689605706861798e-05,"(12, 12)","{'hidden_layer_sizes': (12, 12)}",0.9814944134078212,0.9766061452513967,0.980440097799511,0.9797415298637793,0.9779951100244498,0.9792554592693916,0.0017469913387840584,31
64,4.310094499588013,0.7095238417527978,0.003989362716674804,0.0008917502083977965,"(14, 14, 14, 14, 14)","{'hidden_layer_sizes': (14, 14, 14, 14, 14)}",0.9800977653631285,0.9762569832402235,0.9797415298637793,0.9818372336709745,0.9779951100244498,0.9791857244325112,0.0019061126524049443,32
68,3.449774646759033,0.12254808828708746,0.004188251495361328,0.0009765615616920553,"(15, 15, 15, 15)","{'hidden_layer_sizes': (15, 15, 15, 15)}",0.9787011173184358,0.9762569832402235,0.9825358016067063,0.9818372336709745,0.9758994062172547,0.9790461084107189,0.002748392678834523,33
58,3.0889391899108887,0.14445788473041749,0.0037905216217041016,0.0003989465030198367,"(13, 13, 13, 13)","{'hidden_layer_sizes': (13, 13, 13, 13)}",0.9807960893854749,0.977304469273743,0.9772965420887181,0.9818372336709745,0.9779951100244498,0.9790458888886722,0.0019000894818908454,34
31,1.0783792018890381,0.1373893452155257,0.002684926986694336,0.0006932280614295542,"(8, 8)","{'hidden_layer_sizes': (8, 8)}",0.9807960893854749,0.977304469273743,0.980440097799511,0.9786936779601816,0.9779951100244498,0.979045888888672,0.001361451526935538,35
24,2.103764867782593,0.18838803884406963,0.0032391071319580076,0.0005052682586163583,"(6, 6, 6, 6, 6)","{'hidden_layer_sizes': (6, 6, 6, 6, 6)}",0.9818435754189944,0.977304469273743,0.9762486901851205,0.9814879497031086,0.9783443939923158,0.9790458157146565,0.002242305459503905,36
53,2.963873100280762,0.25727767787921446,0.003590965270996094,0.0007981183864496865,"(12, 12, 12, 12)","{'hidden_layer_sizes': (12, 12, 12, 12)}",0.9800977653631285,0.9769553072625698,0.9779951100244498,0.9818372336709745,0.9779951100244498,0.9789761052691146,0.0017579820830598886,37
47,1.7321842193603516,0.12271471063709281,0.0035912513732910155,0.0004895548350841606,"(11, 11, 11)","{'hidden_layer_sizes': (11, 11, 11)}",0.9814944134078212,0.9769553072625698,0.9811386657352428,0.9790429619280475,0.9758994062172547,0.9789061509101872,0.0022157728692844937,38
49,2.7035497665405273,0.12371465753193144,0.0043887138366699215,0.0007982748026584723,"(11, 11, 11, 11, 11)","{'hidden_layer_sizes': (11, 11, 11, 11, 11)}",0.9814944134078212,0.9727653631284916,0.980440097799511,0.9818372336709745,0.977645826056584,0.9788365868126766,0.003373924701727317,39
10,0.47252092361450193,0.08089646027966657,0.0021230220794677735,0.00017922256826193852,4,{'hidden_layer_sizes': 4},0.9818435754189944,0.9766061452513967,0.9769472581208523,0.9807893817673768,0.9779951100244498,0.978836294116614,0.0021027555176212306,40
5,0.4469593048095703,0.05405986919268598,0.0024003028869628907,0.0004958033583203253,3,{'hidden_layer_sizes': 3},0.9814944134078212,0.9766061452513967,0.9755501222493888,0.9818372336709745,0.9783443939923158,0.9787664617143795,0.0025322444110891626,41
39,2.5964416027069093,0.07288347744139854,0.0035904407501220702,0.0005027954600372416,"(9, 9, 9, 9, 9)","{'hidden_layer_sizes': (9, 9, 9, 9, 9)}",0.9804469273743017,0.9766061452513967,0.9790429619280475,0.9793922458959133,0.9779951100244498,0.9786966780948217,0.001306110632848033,42
28,1.6684650421142577,0.10546061663138358,0.002736473083496094,0.0002389347497078205,"(7, 7, 7, 7)","{'hidden_layer_sizes': (7, 7, 7, 7)}",0.9814944134078212,0.9759078212290503,0.9793922458959133,0.9786936779601816,0.9779951100244498,0.9786966537034832,0.0018210473261548454,43
54,3.629894256591797,0.11530832461123348,0.003987455368041992,2.972497439481487e-06,"(12, 12, 12, 12, 12)","{'hidden_layer_sizes': (12, 12, 12, 12, 12)}",0.9811452513966481,0.9769553072625698,0.9765979741529863,0.9807893817673768,0.9779951100244498,0.9786966049208061,0.0019133242389636309,44
29,1.8877153873443604,0.03443369985975973,0.003133869171142578,0.0002550943139292967,"(7, 7, 7, 7, 7)","{'hidden_layer_sizes': (7, 7, 7, 7, 7)}",0.977304469273743,0.9769553072625698,0.9811386657352428,0.9821865176388404,0.9755501222493888,0.9786270164319569,0.002568635879525753,45
6,0.6665123462677002,0.020242689076955245,0.001983928680419922,1.557470166359079e-05,"(3, 3)","{'hidden_layer_sizes': (3, 3)}",0.9783519553072626,0.9766061452513967,0.9811386657352428,0.9786936779601816,0.9783443939923158,0.9786269676492798,0.001452740882901604,46
32,1.4607600688934326,0.0436880998316268,0.003002834320068359,0.0002978415278645902,"(8, 8, 8)","{'hidden_layer_sizes': (8, 8, 8)}",0.9766061452513967,0.9766061452513967,0.9814879497031086,0.9800908138316451,0.9779951100244498,0.9785572328123994,0.0019427011919598061,47
27,1.351419496536255,0.04819223802173857,0.0033896923065185546,0.0008614340953748469,"(7, 7, 7)","{'hidden_layer_sizes': (7, 7, 7)}",0.9769553072625698,0.9769553072625698,0.9772965420887181,0.9825358016067063,0.977645826056584,0.9782777568554296,0.002144332525898309,48
11,0.6905042171478272,0.04352151448053561,0.0023595333099365235,0.00040356094166415905,"(4, 4)","{'hidden_layer_sizes': (4, 4)}",0.9804469273743017,0.973463687150838,0.9811386657352428,0.9818372336709745,0.9745022703457912,0.9782777568554296,0.003549353210489718,48
17,1.207469892501831,0.04129006338684355,0.002934694290161133,6.53385235170419e-05,"(5, 5, 5)","{'hidden_layer_sizes': (5, 5, 5)}",0.9769553072625698,0.977304469273743,0.9800908138316451,0.9807893817673768,0.9752008382815229,0.9780681620833717,0.0020755420982345495,50
33,1.880086898803711,0.06246869587165044,0.003141498565673828,0.00024230261433559838,"(8, 8, 8, 8)","{'hidden_layer_sizes': (8, 8, 8, 8)}",0.9804469273743017,0.9769553072625698,0.9755501222493888,0.9790429619280475,0.9783443939923158,0.9780679425613247,0.0016890253598326717,51
22,1.2489744186401368,0.04218282969800832,0.0030012130737304688,6.226386896434994e-05,"(6, 6, 6)","{'hidden_layer_sizes': (6, 6, 6)}",0.977304469273743,0.9731145251396648,0.9811386657352428,0.9800908138316451,0.9783443939923158,0.9779985735945222,0.0027818321202797507,52
2,0.6564535140991211,0.06289876053893312,0.0021963119506835938,0.0009777703768803294,"(2, 2, 2)","{'hidden_layer_sizes': (2, 2, 2)}",0.9762569832402235,0.9762569832402235,0.9769472581208523,0.9818372336709745,0.9769472581208523,0.9776491432786252,0.0021166769157780333,53
13,1.0128968238830567,0.05192452853474439,0.00287480354309082,0.0003114035579834433,"(4, 4, 4, 4)","{'hidden_layer_sizes': (4, 4, 4, 4)}",0.9807960893854749,0.9766061452513967,0.9755501222493888,0.980440097799511,0.9738037024100594,0.9774392314191662,0.0027478548590847067,54
14,1.196350383758545,0.08236316899363719,0.0028165340423583984,0.0002978139753081107,"(4, 4, 4, 4, 4)","{'hidden_layer_sizes': (4, 4, 4, 4, 4)}",0.9814944134078212,0.9727653631284916,0.9758994062172547,0.9783443939923158,0.9783443939923158,0.9773695941476399,0.0029077482432927496,55
23,1.6276238441467286,0.09560318147811071,0.0030614376068115235,0.00048436856123605334,"(6, 6, 6, 6)","{'hidden_layer_sizes': (6, 6, 6, 6)}",0.9811452513966481,0.9738128491620112,0.9745022703457912,0.9793922458959133,0.9779951100244498,0.9773695453649627,0.0028146032947634976,56
44,2.8169345378875734,0.09357973717861971,0.0035825252532958986,0.0005060221085699722,"(10, 10, 10, 10, 10)","{'hidden_layer_sizes': (10, 10, 10, 10, 10)}",0.9787011173184358,0.973463687150838,0.9769472581208523,0.9786936779601816,0.9783443939923158,0.9772300269085246,0.001990651589314369,57
12,0.8659438133239746,0.049387792325300245,0.00273747444152832,0.0002759754693146923,"(4, 4, 4)","{'hidden_layer_sizes': (4, 4, 4)}",0.9766061452513967,0.9752094972067039,0.9772965420887181,0.9811386657352428,0.9752008382815229,0.9770903377127169,0.002180536240092844,58
0,0.4068150043487549,0.10718831720108064,0.002401304244995117,0.000496623929276678,2,{'hidden_layer_sizes': 2},0.9811452513966481,0.973463687150838,0.9814879497031086,0.977645826056584,0.9710094306671324,0.9769504289948623,0.004150229777992989,59
8,1.0395308494567872,0.04127875651262589,0.0022368431091308594,0.0003825547463657548,"(3, 3, 3, 3)","{'hidden_layer_sizes': (3, 3, 3, 3)}",0.9807960893854749,0.9741620111731844,0.974851554313657,0.9790429619280475,0.9758994062172547,0.9769504046035238,0.002547665428117384,60
7,0.7904170036315918,0.12865613501752304,0.0023793697357177733,0.0004816175780347262,"(3, 3, 3)","{'hidden_layer_sizes': (3, 3, 3)}",0.9807960893854749,0.971717877094972,0.9758994062172547,0.9786936779601816,0.9772965420887181,0.9768807185493202,0.003046564150047026,61
1,0.5742534637451172,0.03567135973753123,0.0028125286102294923,0.00040974055705559286,"(2, 2)","{'hidden_layer_sizes': (2, 2)}",0.9766061452513967,0.9762569832402235,0.9755501222493888,0.9790429619280475,0.9755501222493888,0.9766012669836892,0.0012876521113802972,62
4,0.9568162441253663,0.06741610310499616,0.0027723789215087892,0.00038982697271126057,"(2, 2, 2, 2, 2)","{'hidden_layer_sizes': (2, 2, 2, 2, 2)}",0.9766061452513967,0.9766061452513967,0.9685644428920712,0.9786936779601816,0.9783443939923158,0.9757629610694722,0.0037011749623139275,63
3,0.8469613075256348,0.023539617858768635,0.002565956115722656,0.0004943887254547552,"(2, 2, 2, 2)","{'hidden_layer_sizes': (2, 2, 2, 2)}",0.9762569832402235,0.9713687150837989,0.9752008382815229,0.9741529863779252,0.9765979741529863,0.9747154994272915,0.0018800438087657764,64
74,30.572691488265992,10.60498357615816,0.014760732650756836,0.000745715766525362,"(100, 100, 100, 100, 100)","{'hidden_layer_sizes': (100, 100, 100, 100, 100)}",0.9807960893854749,0.9766061452513967,0.9814879497031086,0.9811386657352428,0.9126790080335313,0.9665415716217508,0.02698937587135691,65
63,2.6199936389923097,1.00744628458692,0.003989124298095703,1.1680077279964342e-07,"(14, 14, 14, 14)","{'hidden_layer_sizes': (14, 14, 14, 14)}",0.9814944134078212,0.9088687150837989,0.9779951100244498,0.9818372336709745,0.9783443939923158,0.9657079732358721,0.028463024655714347,66
20,0.5028128147125244,0.20248866197473794,0.0021572113037109375,0.00042200818567372594,6,{'hidden_layer_sizes': 6},0.9818435754189944,0.9762569832402235,0.9814879497031086,0.9091861683548725,0.9783443939923158,0.965423814141903,0.028194456021624757,67
48,1.9187883853912353,0.77573853762613,0.004196023941040039,0.0007444943714210593,"(11, 11, 11, 11)","{'hidden_layer_sizes': (11, 11, 11, 11)}",0.9800977653631285,0.9769553072625698,0.9091861683548725,0.9821865176388404,0.9783443939923158,0.9653540305223454,0.028138508294263696,68
19,1.480548906326294,0.5902863689966026,0.002774333953857422,0.00022977300838766495,"(5, 5, 5, 5, 5)","{'hidden_layer_sizes': (5, 5, 5, 5, 5)}",0.977304469273743,0.9766061452513967,0.9814879497031086,0.9818372336709745,0.9088368843870066,0.9652145364572459,0.028268402574992683,69
30,0.5389134407043457,0.20917109014614485,0.001986408233642578,2.358614162511406e-05,8,{'hidden_layer_sizes': 8},0.9088687150837989,0.9762569832402235,0.9811386657352428,0.9811386657352428,0.9783443939923158,0.9651494847573648,0.028200407812657435,70
43,1.8650811672210694,0.739515977680222,0.003774690628051758,0.0007499163790487759,"(10, 10, 10, 10)","{'hidden_layer_sizes': (10, 10, 10, 10)}",0.979050279329609,0.9759078212290503,0.9091861683548725,0.9821865176388404,0.9765979741529863,0.9645857521410717,0.027787069304537913,71
16,0.7383483409881592,0.3319228096876779,0.0023663997650146484,0.0003509545002215825,"(5, 5)","{'hidden_layer_sizes': (5, 5)}",0.9804469273743017,0.9738128491620112,0.974851554313657,0.9793922458959133,0.9088368843870066,0.9634680922265779,0.027433649367919644,72
34,1.811830425262451,0.7872343988440272,0.0029714107513427734,0.00037375057977428203,"(8, 8, 8, 8, 8)","{'hidden_layer_sizes': (8, 8, 8, 8, 8)}",0.9818435754189944,0.9738128491620112,0.9811386657352428,0.9818372336709745,0.874257771568285,0.9585780191111016,0.04226881626144568,73
9,0.7920997142791748,0.4833407019392639,0.003014802932739258,1.8557482825704546e-05,"(3, 3, 3, 3, 3)","{'hidden_layer_sizes': (3, 3, 3, 3, 3)}",0.9088687150837989,0.9762569832402235,0.9091861683548725,0.9814879497031086,0.9779951100244498,0.9507589852812905,0.03411544368696491,74
18,0.9128477573394775,0.588498529920369,0.002701139450073242,0.00033264194333207657,"(5, 5, 5, 5)","{'hidden_layer_sizes': (5, 5, 5, 5)}",0.9814944134078212,0.9088687150837989,0.9035976248690185,0.9818372336709745,0.9779951100244498,0.9507586194112125,0.03641790550979761,75
